Picture Name,Label,N=3,N=5,N=11,N=21,,
02509,Building 8 Str. Eugeniu de Savoya,0.5,0.5,0.5,0.326923,,
02510,Building 8 Str. Eugeniu de Savoya,0.5,0.5,0.5,0.5,,
02511,Building 8 Str. Eugeniu de Savoya,1,1,1,1,,
02601,Credit Bank Palace,1,1,1,0.715966,,
02602,Credit Bank Palace,1,1,0.875,0.771429,,
02603,Credit Bank Palace,1,1,0.725,0.656923,,
02604,Credit Bank Palace,0.333333,0.416667,0.416667,0.327778,,
02605,Credit Bank Palace,1,0.75,0.75,0.576923,,
02606,Credit Bank Palace,1,0.75,0.642857,0.494872,,
02607,Credit Bank Palace,1,1,0.527778,0.527778,,
02608,Credit Bank Palace,0.333333,0.333333,0.39881,0.39881,,
02609,Credit Bank Palace,0,0,0.173611,0.178241,,
02610,Credit Bank Palace,0,0,0,0,,
02611,Credit Bank Palace,0,0.25,0.25,0.177632,,
02612,Credit Bank Palace,0.5,0.5,0.5,0.297619,,
02613,Credit Bank Palace,1,1,0.858333,0.777778,,
02614,Credit Bank Palace,1,0.75,0.611111,0.538889,,
02615,Credit Bank Palace,1,1,0.666667,0.442157,,
02616,Credit Bank Palace,0,0,0,0,,
02701,Old Timisoara Townhall,0,0,0,0,,
02702,Old Timisoara Townhall,0,0,0,0,,
02703,Old Timisoara Townhall,0,0,0,0,,
02704,Old Timisoara Townhall,0,0,0,0,,
02705,Old Timisoara Townhall,0,0,0,0,,
02706,Old Timisoara Townhall,0,0,0,0,,
02707,Old Timisoara Townhall,0,0,0,0,,
02708,Old Timisoara Townhall,0,0,0.1,0.1,,
02709,Old Timisoara Townhall,0,0,0,0,,
02710,Old Timisoara Townhall,0,0,0,0,,
02711,Old Timisoara Townhall,0,0,0,0,,
02801,Makri Hause,0,0,0,0,,
02802,Makri Hause,0,0,0,0.0892857,,
02803,Makri Hause,0,0,0,0,,
02804,Makri Hause,0,0,0,0.047619,,
02805,Makri Hause,0,0,0.166667,0.166667,,
02806,Makri Hause,0,0,0,0,,
02807,Makri Hause,0.5,0.45,0.45,0.45,,
02808,Makri Hause,0,0,0,0,,
