Picture Name,Label,N=3,N=5,N=11,N=21,,
01809,Serbian Church of Fabric Community,0,0,0.125,0.115132,,
01810,Serbian Church of Fabric Community,0,0,0,0,,
01811,Serbian Church of Fabric Community,0.333333,0.333333,0.333333,0.333333,,
01901,Hause of the Canonic,0,0,0,0,,
01902,Hause of the Canonic,0,0,0,0,,
01903,Hause of the Canonic,0,0,0,0,,
01904,Hause of the Canonic,0,0,0,0,,
01905,Hause of the Canonic,1,1,1,1,,
01906,Hause of the Canonic,0,0,0,0,,
01907,Hause of the Canonic,0,0,0,0,,
01908,Hause of the Canonic,0,0,0,0,,
01909,Hause of the Canonic,0,0,0,0,,
01910,Hause of the Canonic,0,0,0.142857,0.142857,,
01911,Hause of the Canonic,0,0,0,0,,
02001,Prenner Hause,0,0,0,0,,
02002,Prenner Hause,0,0,0,0,,
02003,Prenner Hause,0,0,0,0,,
02004,Prenner Hause,0,0,0,0,,
02005,Prenner Hause,0,0,0,0,,
02006,Prenner Hause,0,0,0,0,,
02007,Prenner Hause,0,0,0,0,,
02008,Prenner Hause,0,0,0,0,,
02009,Prenner Hause,0,0,0,0,,
02010,Prenner Hause,0,0,0,0,,
02011,Prenner Hause,0.333333,0.333333,0.333333,0.333333,,
02012,Prenner Hause,0,0,0,0,,
02101,Agoston Galgon Hause,0,0.2,0.2,0.2,,
02102,Agoston Galgon Hause,0,0,0,0,,
02103,Agoston Galgon Hause,0,0,0,0,,
02104,Agoston Galgon Hause,0,0,0,0,,
02105,Agoston Galgon Hause,0,0,0,0,,
02106,Agoston Galgon Hause,0,0,0,0,,
02107,Agoston Galgon Hause,0,0,0,0,,
02108,Agoston Galgon Hause,0,0,0,0.0588235,,
02109,Agoston Galgon Hause,0,0,0,0,,
02110,Agoston Galgon Hause,0,0,0,0.0555556,,
02111,Agoston Galgon Hause,0,0,0,0,,
02201,La Trompetist Hause,0,0,0,0,,
02202,La Trompetist Hause,0,0,0,0,,
02203,La Trompetist Hause,0,0,0,0,,
02204,La Trompetist Hause,0,0,0.111111,0.111111,,
02205,La Trompetist Hause,0,0,0,0.05,,
02206,La Trompetist Hause,0,0,0.111111,0.122222,,
02207,La Trompetist Hause,0,0.25,0.25,0.25,,
02208,La Trompetist Hause,0,0,0,0,,
02209,La Trompetist Hause,0,0,0,0.0526316,,
02210,La Trompetist Hause,0,0,0,0,,
02211,La Trompetist Hause,0,0,0,0,,
02301,Schweinitzer Palace,0,0,0.166667,0.166667,,
02302,Schweinitzer Palace,0,0,0,0,,
02303,Schweinitzer Palace,0,0,0,0.0666667,,
02304,Schweinitzer Palace,0,0,0,0.0588235,,
02305,Schweinitzer Palace,0,0,0,0,,
02306,Schweinitzer Palace,0,0,0,0,,
02307,Schweinitzer Palace,0,0,0,0.0555556,,
02308,Schweinitzer Palace,1,1,1,1,,
02309,Schweinitzer Palace,1,1,1,1,,
02310,Schweinitzer Palace,0.833333,0.833333,0.833333,0.833333,,
02401,Nokia Networks Romania Campus,0,0,0,0,,
02402,Nokia Networks Romania Campus,0,0,0,0,,
02403,Nokia Networks Romania Campus,0,0,0,0,,
02404,Nokia Networks Romania Campus,0,0,0,0,,
02405,Nokia Networks Romania Campus,0,0,0,0,,
02406,Nokia Networks Romania Campus,0,0,0,0.0833333,,
02501,Building 8 Str. Eugeniu de Savoya,0.5,0.5,0.5,0.5,,
02502,Building 8 Str. Eugeniu de Savoya,1,1,1,1,,
02503,Building 8 Str. Eugeniu de Savoya,0,0,0,0.0666667,,
02504,Building 8 Str. Eugeniu de Savoya,0,0,0,0.0900735,,
02505,Building 8 Str. Eugeniu de Savoya,0,0,0,0,,
02506,Building 8 Str. Eugeniu de Savoya,0,0,0.166667,0.166667,,
02507,Building 8 Str. Eugeniu de Savoya,0,0,0,0,,
02508,Building 8 Str. Eugeniu de Savoya,0,0.25,0.25,0.25,,
02509,Building 8 Str. Eugeniu de Savoya,0,0,0,0,,
02510,Building 8 Str. Eugeniu de Savoya,0,0,0,0,,
02511,Building 8 Str. Eugeniu de Savoya,1,1,1,1,,
02601,Credit Bank Palace,1,1,1,1,,
02602,Credit Bank Palace,0.833333,0.833333,0.655556,0.655556,,
02603,Credit Bank Palace,1,0.866667,0.866667,0.866667,,
02604,Credit Bank Palace,0.5,0.5,0.5,0.5,,
02605,Credit Bank Palace,0,0,0,0,,
02606,Credit Bank Palace,0.583333,0.583333,0.488889,0.488889,,
02607,Credit Bank Palace,0,0,0,0,,
02608,Credit Bank Palace,0,0,0.241703,0.241703,,
02609,Credit Bank Palace,0,0,0.142857,0.142857,,
02610,Credit Bank Palace,0,0,0.0909091,0.119589,,
02611,Credit Bank Palace,0,0,0,0,,
02612,Credit Bank Palace,0.333333,0.366667,0.366667,0.366667,,
02613,Credit Bank Palace,1,1,1,1,,
02614,Credit Bank Palace,0.5,0.5,0.375,0.375,,
02615,Credit Bank Palace,0,0,0.0909091,0.0909091,,
02616,Credit Bank Palace,0,0,0,0.0714286,,
02701,Old Timisoara Townhall,0,0,0,0,,
02702,Old Timisoara Townhall,0,0,0,0,,
02703,Old Timisoara Townhall,0,0,0,0.0555556,,
02704,Old Timisoara Townhall,0.5,0.5,0.5,0.5,,
02705,Old Timisoara Townhall,0,0,0,0,,
